ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,EXPOSURE,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,TARGET_AMT,CAR_AGE,TARGET_FLAG,URBANICITY
63581743,0,60,0,11,808188,No,0,No,M,PhD,Professional,14,Private,170760,11,Minivan,yes,53532,2,No,3,0,18,0,Urban
132761049,0,43,0,11,1097388,No,3087024,No,M,High School,Blue Collar,22,Commercial,179280,1,Minivan,yes,0,0,No,0,0,1,0,Urban
921317019,0,48,0,11,634572,No,0,No,M,Bachelors,Manager,26,Private,263640,1,Van,yes,0,0,No,2,0,10,0,Urban
727598473,0,35,1,10,192468,No,1490292,Yes,F,High School,Clerical,5,Private,48120,4,SUV,no,464280,2,No,3,0,10,0,Urban
450221861,0,51,0,14,0,No,3675012,Yes,M,High School,Blue Collar,32,Private,185280,7,Minivan,yes,0,0,No,0,0,6,0,Urban
743146596,0,50,0,,1379832,No,2927100,Yes,F,PhD,Doctor,36,Private,216000,1,SUV,no,230604,2,Yes,3,0,17,0,Urban
871024631,0,34,1,12,1503612,Yes,0,No,F,Bachelors,Blue Collar,46,Commercial,209160,1,Sports Car,no,0,0,No,0,35352,7,1,Urban
792300541,0,54,0,,225060,No,0,Yes,F,High School,Blue Collar,33,Private,105360,1,SUV,no,0,0,No,0,0,1,0,Urban
7945239,1,40,1,11,609780,Yes,0,No,M,High School,Manager,21,Private,227160,6,Minivan,no,39540,1,No,2,77724,1,1,Urban
3577610,0,44,2,12,521832,Yes,0,No,F,High School,Blue Collar,30,Commercial,70800,10,SUV,no,0,0,No,0,0,10,0,Rural
892208080,1,37,2,,1295532,No,4004160,Yes,M,Bachelors,Blue Collar,44,Commercial,203640,1,Van,yes,28488,1,Yes,10,48252,7,1,Urban
77382913,0,34,0,10,755736,No,0,No,F,Bachelors,Clerical,34,Private,134400,1,SUV,no,0,0,No,0,30012,1,1,Urban
856886560,0,50,0,7,1283424,No,0,No,M,Bachelors,Professional,48,Commercial,222120,7,Van,no,0,0,No,1,0,17,0,Rural
308455362,0,53,0,14,925200,No,0,No,F,Masters,Lawyer,15,Private,219600,1,Sports Car,no,0,0,No,0,72924,11,1,Urban
989828809,0,43,0,5,631704,No,2519640,Yes,F,Masters,Professional,36,Private,269040,7,Minivan,no,0,0,No,0,0,1,0,Rural
376482434,0,55,0,11,709944,No,2162784,Yes,M,Bachelors,Manager,25,Commercial,211200,7,Van,yes,60336,2,Yes,3,0,9,0,Urban
665591504,0,53,0,11,1569540,No,0,No,M,PhD,,64,Commercial,340080,6,Panel Truck,yes,0,0,No,3,15204,10,1,Urban
713692930,0,35,2,,254448,Yes,0,No,M,High School,Clerical,74,Private,110760,6,Pickup,no,0,0,Yes,0,0,4,0,Rural
588888550,0,45,0,0,0,No,1282308,Yes,F,High School,Home Maker,48,Private,72000,1,SUV,no,0,0,No,3,35040,5,1,Urban
140015922,0,39,3,12,622608,Yes,2171412,No,F,Bachelors,Clerical,43,Private,127080,6,SUV,no,0,0,No,0,0,13,0,Rural
162166370,0,59,0,12,1049520,No,0,No,M,High School,Manager,45,Private,185040,1,Minivan,yes,538284,2,No,4,49332,1,1,Urban
884513944,0,42,0,11,719340,No,2306484,Yes,M,Masters,Lawyer,42,Private,170280,6,Minivan,no,0,0,No,0,0,16,0,Urban
627708979,0,34,3,13,408228,No,1102500,Yes,F,Masters,Lawyer,27,Private,99600,7,SUV,no,0,0,No,0,0,20,0,Urban
116375554,0,31,2,12,226836,No,1125564,Yes,F,High School,Clerical,48,Private,207960,4,Minivan,no,0,0,No,0,0,7,0,Urban
235358484,0,28,1,13,528924,No,2047176,Yes,F,High School,Blue Collar,29,Commercial,104520,6,SUV,no,107220,2,No,0,82284,1,1,Urban
528040687,0,43,0,13,446568,No,0,Yes,M,High School,Blue Collar,52,Commercial,318720,1,Panel Truck,yes,0,0,No,3,43524,1,1,Urban
652572577,0,48,0,14,1155288,No,3394848,Yes,F,Masters,Lawyer,36,Private,133560,6,SUV,no,99000,1,No,5,0,14,0,Urban
410873772,0,47,0,11,555372,No,0,No,F,High School,Blue Collar,29,Private,236400,10,Minivan,no,0,0,No,1,0,5,0,Urban
254362485,2,44,2,0,0,No,988128,Yes,F,High School,Home Maker,8,Private,70800,6,SUV,no,40056,3,No,0,0,11,0,Urban
69165559,0,46,0,14,0,No,2490228,Yes,M,Bachelors,Professional,7,Commercial,307920,1,Panel Truck,no,25428,1,No,2,0,12,0,Urban
201327208,0,60,0,12,455280,No,2192868,Yes,F,High School,Blue Collar,16,Commercial,135480,1,Sports Car,no,0,0,No,0,62964,1,1,Urban
573751437,0,33,1,13,955272,No,2711544,Yes,F,Bachelors,Professional,27,Private,201960,9,SUV,no,0,0,No,2,0,15,0,Rural
483050926,0,32,1,9,375300,No,1417920,Yes,F,High School,Clerical,26,Private,120360,1,SUV,no,0,0,No,0,53832,1,1,Urban
146989842,1,44,2,17,545856,No,2632536,Yes,M,Bachelors,Manager,16,Private,265080,17,Minivan,no,0,0,No,0,0,12,0,Urban
742435591,0,35,0,8,866316,No,0,No,F,Bachelors,Clerical,26,Private,146640,6,SUV,no,0,0,No,3,0,12,0,Urban
915517588,0,40,2,0,0,No,1185324,Yes,F,Masters,Home Maker,15,Private,169560,6,SUV,no,457524,2,Yes,4,0,12,0,Rural
756785495,0,54,0,12,398544,No,1901184,Yes,M,High School,Blue Collar,27,Commercial,288000,4,Panel Truck,no,0,0,No,5,58812,,1,Urban
66662029,0,49,0,5,590928,No,1961328,Yes,M,Bachelors,Clerical,30,Private,190560,1,Minivan,no,0,0,No,1,0,1,0,Urban
294816298,2,36,2,12,1566480,Yes,4130340,No,F,Bachelors,Blue Collar,5,Commercial,326400,4,Minivan,no,0,0,No,0,0,9,0,Rural
686791659,0,52,0,8,615336,No,2764080,Yes,F,Bachelors,Professional,37,Private,18000,4,SUV,no,0,0,No,1,0,10,0,Urban
269341556,0,41,0,7,1114104,No,3433356,No,M,Masters,,12,Commercial,309720,6,Panel Truck,no,17172,2,No,5,0,15,0,Urban
396972296,0,39,0,10,420972,No,2434068,Yes,M,Bachelors,Blue Collar,38,Commercial,199680,4,Van,yes,0,0,No,0,0,13,0,Urban
364483168,0,56,0,0,0,No,765924,Yes,F,PhD,Home Maker,65,Private,158640,1,Minivan,no,0,0,No,0,0,12,0,Rural
866093378,0,49,0,12,1380528,No,3743760,No,F,PhD,Doctor,18,Private,214800,1,Minivan,no,0,0,No,0,0,14,0,Urban
515421877,0,38,0,11,453048,No,1665876,Yes,F,High School,Clerical,47,Private,144960,1,SUV,no,0,0,No,2,0,9,0,Rural
173737852,0,43,2,17,1744236,No,5025420,Yes,F,Masters,,38,Commercial,353400,6,Van,no,0,0,No,0,0,15,0,Urban
745183922,0,50,0,8,2009628,No,0,No,F,PhD,Doctor,22,Private,409800,4,Sports Car,no,0,0,No,3,0,1,0,Urban
298271736,0,63,0,15,1456776,No,4120920,Yes,F,PhD,Doctor,10,Private,195240,1,SUV,no,0,0,No,0,0,11,0,Urban
70821537,0,52,0,0,0,No,1055100,No,F,High School,Student,48,Commercial,111360,1,SUV,no,0,0,No,1,0,6,0,Rural
258951025,0,35,0,7,174096,No,0,Yes,M,Bachelors,Student,22,Commercial,77400,1,Pickup,no,0,0,No,0,0,7,0,Urban
807174588,0,43,0,13,904056,No,3246660,Yes,F,Bachelors,Manager,40,Private,276960,1,Sports Car,no,0,0,No,0,0,8,0,Urban
514538041,0,41,0,10,393288,No,0,No,F,High School,Clerical,44,Private,241440,4,Minivan,no,0,0,No,0,0,1,0,Rural
25561360,0,40,0,11,689688,No,2237016,Yes,M,Bachelors,Clerical,5,Commercial,351240,4,Panel Truck,yes,0,0,No,1,0,5,0,Urban
753037176,0,31,1,12,318240,No,1853916,Yes,M,Bachelors,Student,62,Commercial,55200,6,Minivan,yes,0,0,No,2,0,5,0,Urban
883748009,0,47,0,8,221328,No,0,Yes,F,High School,Student,35,Commercial,233400,6,SUV,no,35772,2,No,5,0,,0,Urban
31827166,0,53,0,,1287108,No,4124400,Yes,M,Masters,Professional,36,Private,350760,10,Minivan,yes,0,0,No,0,0,15,0,Urban
680782638,0,39,3,7,408552,No,2200596,Yes,F,High School,Clerical,33,Private,48480,6,SUV,no,0,0,No,0,0,5,0,Rural
883604551,0,33,3,14,388368,No,1834728,Yes,M,High School,Clerical,40,Private,147240,18,Minivan,yes,0,0,No,3,0,1,0,Urban
714473703,0,59,0,5,1281300,No,0,No,M,Masters,Lawyer,10,Private,383160,1,Minivan,yes,0,0,No,0,0,,0,Urban
213057541,0,42,0,,635856,No,2115300,Yes,M,High School,Blue Collar,24,Commercial,281400,1,Minivan,no,0,0,No,2,0,11,0,Rural
885280620,0,40,0,11,203868,No,0,No,M,High School,Blue Collar,20,Commercial,146760,4,Pickup,yes,313248,1,Yes,13,73200,6,1,Urban
931739722,0,41,2,7,213060,Yes,1785780,No,F,High School,Clerical,29,Private,173760,1,Minivan,yes,0,0,Yes,2,0,1,0,Urban
939401184,1,37,2,13,0,Yes,0,No,F,High School,Blue Collar,62,Commercial,112320,4,Sports Car,no,0,0,No,0,74340,,1,Urban
840809480,0,36,3,12,672576,No,1654032,Yes,M,Masters,Lawyer,15,Private,128400,6,Minivan,no,24540,2,No,2,0,16,0,Urban
800426023,0,44,2,15,196224,No,1609968,Yes,F,High School,Home Maker,37,Private,126240,1,SUV,no,94056,1,No,1,106092,1,1,Urban
14827139,0,56,0,16,537120,No,1978224,Yes,M,Bachelors,Manager,30,Private,261240,13,Minivan,yes,0,0,No,0,0,6,0,Urban
212687745,1,45,1,14,767424,No,2356416,Yes,F,Masters,Lawyer,50,Private,388080,6,Van,no,334524,2,Yes,0,25404,13,1,Urban
224701093,0,34,3,12,270120,No,1486656,Yes,M,High School,Clerical,26,Private,176280,4,Minivan,yes,0,0,Yes,0,14760,1,1,Rural
401200262,0,48,0,,0,No,3034752,Yes,M,Bachelors,Professional,14,Commercial,342720,13,Panel Truck,yes,18648,5,No,1,0,10,0,Urban
926073051,1,44,2,,288720,Yes,0,No,M,Bachelors,Clerical,24,Private,170640,4,Minivan,no,0,0,No,0,42384,10,1,Urban
45830738,0,33,4,12,249864,No,912264,Yes,F,High School,Home Maker,46,Private,82560,13,SUV,no,94752,3,No,0,10392,1,1,Urban
997497927,0,32,3,14,659616,No,1761408,Yes,F,High School,Professional,20,Private,120480,4,SUV,no,0,0,Yes,0,0,8,0,Urban
862203239,0,34,0,8,170328,No,1044408,No,F,High School,Clerical,13,Private,35040,4,Sports Car,no,297204,3,Yes,2,93432,10,1,Urban
116102677,1,38,4,12,25788,No,874668,Yes,F,High School,Home Maker,35,Private,272280,10,Pickup,no,0,0,No,2,0,1,0,Urban
635101571,0,35,2,12,0,Yes,0,No,F,High School,Blue Collar,43,Private,116760,5,SUV,no,0,0,No,4,65112,4,1,Urban
793404097,2,44,2,14,546912,No,1879476,Yes,F,High School,Blue Collar,27,Private,18000,4,Sports Car,no,303312,1,No,8,0,,0,Urban
62434528,2,43,3,11,1645236,Yes,0,No,F,Masters,Manager,29,Private,234120,1,Sports Car,no,106680,3,No,0,49776,15,1,Urban
935079846,0,49,0,9,0,No,0,No,M,PhD,,31,Commercial,404520,3,Panel Truck,no,412212,2,Yes,2,0,18,0,Urban
948288985,0,46,0,10,954456,No,0,No,F,Bachelors,Manager,13,Private,168600,3,Minivan,no,0,0,Yes,2,0,11,0,Urban
396323054,0,45,1,11,2230032,No,6109380,Yes,F,PhD,Lawyer,28,Private,123000,1,SUV,no,51684,3,No,6,0,20,0,Urban
299024508,0,46,0,14,0,No,4771932,No,M,Masters,,22,Commercial,399840,4,Panel Truck,yes,0,0,Yes,1,0,12,0,Urban
39392545,0,45,0,11,743172,No,2562360,Yes,M,Masters,,30,Commercial,130920,13,Pickup,yes,301272,2,No,0,0,,0,Urban
536604822,0,48,0,9,738108,No,2345256,Yes,M,Masters,,40,Commercial,278760,6,Panel Truck,yes,0,0,No,1,0,17,0,Urban
429992959,0,63,0,9,893112,No,0,No,F,PhD,Doctor,11,Private,331200,1,SUV,no,0,0,No,0,0,18,0,Urban
160577728,0,44,0,9,896664,No,2772408,Yes,F,Bachelors,Professional,9,Private,283680,6,Minivan,no,0,0,No,0,0,1,0,Urban
108385737,1,45,2,11,1228716,Yes,0,No,M,Bachelors,Professional,25,Private,18000,1,Minivan,yes,0,0,No,2,28452,11,1,Urban
414142186,0,62,0,15,487872,No,2498904,Yes,F,High School,Clerical,57,Private,110040,4,Sports Car,no,508104,2,Yes,2,50136,7,1,Urban
421217157,0,48,0,0,0,No,1187040,Yes,F,High School,Home Maker,50,Private,103920,3,Sports Car,no,100356,2,No,3,0,,0,Urban
935010485,1,37,2,12,0,No,2462532,Yes,F,Bachelors,Blue Collar,43,Commercial,62400,1,SUV,no,32616,1,No,1,57648,3,1,Urban
537840281,0,35,0,,352452,No,0,No,F,High School,Clerical,49,Private,58320,10,Sports Car,no,0,0,No,0,0,1,0,Urban
748139140,0,48,0,12,381276,No,1981080,Yes,M,High School,Clerical,14,Commercial,115680,13,Pickup,no,14544,1,No,4,16248,1,1,Urban
601118153,0,39,0,11,404724,No,0,No,F,Bachelors,Clerical,27,Private,130200,1,SUV,no,100200,1,No,2,0,12,0,Urban
808304017,0,49,0,0,0,No,1912668,Yes,F,Masters,Professional,42,Private,76800,10,SUV,no,109380,1,No,6,0,14,0,Urban
803325269,0,44,2,15,1671960,Yes,3802800,No,F,High School,Blue Collar,35,Commercial,264600,10,Sports Car,no,0,0,No,0,0,1,0,Rural
701235200,0,50,0,13,1959552,No,5371392,No,F,PhD,Lawyer,42,Private,273960,1,Minivan,no,0,0,No,0,0,14,0,Rural
916609661,0,30,1,10,209460,Yes,1691736,No,F,High School,Blue Collar,50,Private,148560,13,Minivan,no,0,0,No,0,0,6,0,Rural
469714824,0,54,0,,852084,No,2889996,Yes,M,Bachelors,Manager,61,Private,168000,6,Minivan,no,0,0,No,0,0,11,0,Urban
46606719,0,38,0,0,0,No,0,Yes,M,High School,Student,41,Commercial,209640,10,Van,no,37884,2,No,5,0,6,0,Rural
454040458,0,53,0,6,456432,No,1840572,Yes,F,High School,Blue Collar,32,Commercial,157680,1,SUV,no,0,0,No,4,29100,1,1,Urban
951246359,0,53,0,13,494388,No,1811196,No,F,Bachelors,Manager,21,Private,184320,1,SUV,no,0,0,No,0,0,8,0,Urban
389315422,0,29,1,10,456504,Yes,2435604,No,M,High School,Professional,15,Private,181920,6,Minivan,no,0,0,No,0,0,1,0,Urban
180660768,0,58,0,11,1094676,No,0,No,M,Masters,Lawyer,23,Private,127440,6,Pickup,no,0,0,No,0,0,,0,Urban
184578161,0,55,0,7,549444,No,2078352,Yes,F,Masters,Lawyer,5,Private,232560,6,Minivan,no,0,0,No,0,0,13,0,Urban
59798468,0,55,0,,1019568,No,2725092,Yes,M,Bachelors,Blue Collar,21,Commercial,69120,1,Pickup,yes,11628,2,No,6,0,11,0,Urban
957817015,0,56,0,8,458880,No,2288100,Yes,F,High School,Clerical,28,Private,194640,4,SUV,no,0,0,No,0,0,,0,Rural
402443529,0,39,2,0,0,No,832428,Yes,F,High School,Home Maker,36,Private,105000,4,Sports Car,no,0,0,No,0,0,8,0,Urban
298667574,2,44,2,13,1711056,No,4383072,Yes,M,Masters,Manager,28,Private,261480,6,Minivan,yes,0,0,No,2,0,9,0,Urban
303462460,0,34,0,11,618780,No,0,No,M,Masters,Lawyer,36,Private,217320,1,Van,yes,9108,2,No,3,0,15,0,Urban
629946797,0,34,3,0,0,No,796296,Yes,F,High School,Home Maker,25,Private,140880,9,SUV,no,21600,2,No,2,68532,1,1,Urban
783473090,0,36,0,11,1264608,No,3210108,Yes,M,Masters,Professional,24,Private,165600,7,Minivan,yes,380340,3,Yes,4,0,17,0,Urban
8565171,0,41,0,10,795180,No,1911312,Yes,M,Masters,Lawyer,59,Private,146760,4,Minivan,yes,0,0,No,1,157260,9,1,Urban
950995873,0,46,0,7,0,No,0,No,M,Masters,,17,Commercial,280200,13,Panel Truck,yes,56136,3,No,6,48732,17,1,Urban
867703916,0,45,0,12,388728,No,0,No,F,High School,Clerical,33,Private,165240,4,SUV,no,0,0,No,0,0,1,0,Urban
593582812,0,42,0,9,914712,No,2615040,Yes,M,Bachelors,Blue Collar,18,Commercial,280680,13,Panel Truck,yes,0,0,No,0,0,14,0,Urban
22340563,1,38,3,16,90336,No,1365708,Yes,M,High School,Clerical,26,Private,96960,1,Pickup,yes,0,0,No,0,0,8,0,Rural
679555193,0,33,4,0,0,Yes,0,No,M,High School,Student,14,Commercial,181080,1,Minivan,yes,19572,1,No,2,94056,5,1,Urban
161607403,0,37,0,0,0,No,886680,Yes,F,Bachelors,Student,48,Commercial,154200,7,SUV,no,0,0,No,3,43920,6,1,Urban
700623278,1,42,1,9,393564,No,1927932,Yes,F,Masters,Lawyer,63,Private,260280,1,Minivan,no,0,0,No,2,0,14,0,Urban
755810990,0,47,0,11,536460,No,2614620,Yes,F,Bachelors,Professional,50,Private,154080,1,SUV,no,18396,2,No,0,61500,10,1,Urban
464090162,0,43,1,0,0,No,842040,Yes,F,Bachelors,Home Maker,26,Private,100200,1,SUV,no,0,0,No,3,0,7,0,Urban
170483243,0,52,0,9,827904,No,2603832,No,F,Bachelors,Blue Collar,36,Commercial,181440,1,Minivan,no,0,0,No,3,0,10,0,Rural
421316364,0,43,0,11,1590732,No,3773196,No,M,Masters,Professional,8,Commercial,361800,16,Panel Truck,no,147528,1,No,0,0,1,0,Urban
505563410,0,64,0,15,380856,No,2364120,Yes,M,High School,Blue Collar,23,Commercial,175440,6,SUV,no,47928,2,No,0,61020,1,1,Urban
813759954,0,66,1,17,1161960,No,3909912,Yes,M,Masters,Professional,23,Private,134160,7,SUV,no,0,0,No,0,0,16,0,Urban
37074844,0,60,0,9,1510716,No,0,No,M,PhD,,21,Commercial,90000,9,Pickup,yes,87336,2,No,4,0,15,0,Urban
130470336,2,35,4,6,1854924,Yes,4774416,No,F,Bachelors,Blue Collar,27,Private,245400,6,SUV,no,55740,1,No,3,0,1,0,Urban
637739719,0,52,0,7,768168,No,2938356,Yes,M,High School,Blue Collar,33,Commercial,94800,4,Pickup,yes,106584,3,No,1,25716,5,1,Urban
427956603,0,52,0,11,952176,No,3240384,Yes,F,High School,Manager,23,Private,157800,11,SUV,no,0,0,No,2,0,1,0,Urban
993272296,0,56,2,14,2305068,No,5660412,Yes,M,PhD,,31,Commercial,253200,1,Van,yes,0,0,No,0,77808,,1,Urban
880941719,1,38,1,7,0,No,0,Yes,F,High School,Student,40,Private,84600,4,Sports Car,no,0,0,No,0,0,10,0,Rural
